Alternate,Standard
10250T30B,10250T101-1
10250T30R,10250T102-1
10250T30G,10250T103-1
10250T30Y,10250T104-1
10250T31B,10250T111-1
10250T31R,10250T112-1
10250T31G,10250T113-1
10250T31Y,10250T114-1
10250T32B,10250T121-1
10250T32R,10250T122-1
10250T32G,10250T123-1
10250T32Y,10250T124-1
10250T33B,10250T171-1
10250T33R,10250T172-1
10250T33G,10250T173-1
10250T33Y,10250T174-1
10250T33,10250T172-1
10250T23B,10250T101-53
10250T23B,10250T102-53
10250T23G,10250T103-53
10250T23Y,10250T104-53
10250T25B,10250T111-53
10250T25G,10250T113-53
10250T25Y,10250T114-53
10250T26B,10250T121-53
10250T26G,10250T123-53
10250T26Y,10250T124-53
10250T27B,10250T171-53
10250T27G,10250T173-53
10250T27Y,10250T174-53
10250T25R,10250T112-51
10250T26R,10250T122-51
10250T27R,10250T172-51
10250T29,10250T172-51
