Code,Color,PartNumber
RD,Red 40 mm ,10250TC47
ED,Red 40 mm E STOP,10250TC53
GD,Green 40 mm,10250TC48
LD,Blue 40 mm ,10250TC49
AD,Amber 40 mm,10250TC50
WD,White 40 mm,10250TC51
CD,Red side light ,10250TC52
RS,Red side light E STOP,10250TC57
ES,Green side light,10250TC63
GS,Blue side light,10250TC58
LS,Amber side light,10250TC59
AS,Yellow side light,10250TC64
YS,White side light,10250TC60
WS,Red heavy-duty,10250TC61
CS,Green heavy-duty,10250TC62
RH,Amber heavy duty,10250TC65
GH,,10250TC66
AH,,10250TC67
